Location,River/Reach,Site ID,Site number,Pre Leaf Litter Weight- Fine (g),Pre Leaf Litter Weight- Coarse (g),Pre Teabag Weight (g),Pre Wettex Weight,Post Leaf Litter-Fine ,Post Leaf Litter-Coarse,Post Wettex- Fine ,Post Wettex -Coarse,Coarse Leaf k,Fine leaf k ,Coarse wettex k,Fine wettex k ,Teabag k f,Teabag 2 k c,Temperature,Gammarus,Asellus ,Leech ,Caseless Caddis,Cased Caddis,Mayfly,Snail,Site ID,Imidacloprid Concentration ,Fipronil Concentration,Unit ,Percentage Urban,Percentage Suburban ,Percentage Urban and Suburban,Sum_Urban,Sum_Suburban,Total Area ,Imidacloprid,Imida_bi
Norfolk,Bintry Mill Trout Fishery,15c,87,4.909,4.918,1.9,2.44,4.399,1.326,0.873,0.578,0.012839133,0.042671866,0.01128025,0.017037471,0.019498747,0.019699248,17.003,8,,,,3,1,,15c,0.0031,0.0021,,0.13,4.077422436,4.207422436,103214.4891,3149982,77254247,Not Present,0
Norfolk,Bintry Mill Trout Fishery,15f,90,4.933,4.975,1.9,2.44,4.667,2.209,1.818,1.359,0.021143814,0.045051307,0.026522248,0.035480094,0.018897243,0.019348371,17.003,4,,,,2,4,,15f,0.0031,0.0021,,0.13,4.077422436,4.207422436,103214.4891,3149982,77254247,Not Present,0
Norfolk,Glandford,16a,91,4.984,4.975,1.9,2.44,4.474,2.845,0.662,0.271,0.027231395,0.042746312,0.005288837,0.012919594,0.022932331,0.020025063,14.496,33,,,,3,,,16a,,,,0.27,5.27978999,5.54978999,210789.9722,4078862,77254247,Not Present,0
Norfolk,Glandford,16c,93,4.961,5.003,1.9,2.44,,,,,,,,,,,14.496,,,,,,,,16c,,,,0.27,5.27978999,5.54978999,210789.9722,4078862,77254247,Not Present,0
Norfolk,Glandford,16f,96,4.926,4.989,1.9,2.44,4.773,4.907,0.502,,0.046836373,0.046140015,0,0.009797034,0.020601504,0.020676692,14.496,5,,3,1,,,,16f,,,,0.27,5.27978999,5.54978999,210789.9722,4078862,77254247,Not Present,0
Norfolk,Bayfield Hall,17a,97,4.941,4.945,1.9,2.44,4.106,0.967,0.577,,0.009311955,0.039571708,0,0.011260734,0.019373434,,16.058,,,,,,5,,17a,,,,0.26,6.128221015,6.388221015,204311.3809,4734311,77254247,Not Present,0
Norfolk,Bayfield Hall,17f,102,4.955,4.921,1.9,2.44,4.822,1.962,0.146,0.883,0.018985688,0.047619048,0.017232631,0.002849336,0.023283208,,16.058,12,,,,,2,,17f,,,,0.26,6.128221015,6.388221015,204311.3809,4734311,77254247,Not Present,0
Norfolk,Selbrigg,18a,103,4.914,4.949,1.9,2.44,4.714,3.591,1.758,1.113,0.034552435,0.04568095,0.021721311,0.034309133,0.019172932,0.021102757,13.317,,,,,,,,18a,,,,0.28,5.852548145,6.132548145,216487.9113,4521342,77254247,Not Present,0
Norfolk,Selbrigg,18c,105,4.928,4.937,1.9,2.44,4.892,1.524,1.682,0.001,0.014699499,0.047619048,0,0.032825917,0.020651629,0.028095238,13.317,6,1,,,,,,18c,,,,0.28,5.852548145,6.132548145,216487.9113,4521342,77254247,Not Present,0
Norfolk,Selbrigg,18f,108,5.027,4.957,1.9,2.44,4.984,1.753,1.888,0.001,0.016840063,0.047619048,0,0.036846214,0.019824561,0.021353383,13.317,19,,,,1,,,18f,,,,0.28,5.852548145,6.132548145,216487.9113,4521342,77254247,Not Present,0
