Location,Site ID,Pre Teabag Weight (g),Post Teabag Weight,Temperature,Imidacloprid Concentration ,Fipronil Concentration,Imidacloprid ,Percentage Urban and Suburban,Point 
Norfolk,16f,1.9,0.825,14.496,,,Absent,5.54978999,f
Norfolk,17a,1.9,,16.058,,,Absent,6.388221015,a
Norfolk,17b,1.9,0.985,16.058,,,Absent,6.388221015,b
Norfolk,17c,1.9,,16.058,,,Absent,6.388221015,c
Norfolk,17d,1.9,0.845,16.058,,,Absent,6.388221015,d
Norfolk,17e,1.9,0.788,16.058,,,Absent,6.388221015,e
Norfolk,17f,1.9,,16.058,,,Absent,6.388221015,f
Norfolk,18a,1.9,0.842,13.317,,,Absent,6.132548145,a
Norfolk,18b,1.9,0.868,13.317,,,Absent,6.132548145,b
Norfolk,18c,1.9,1.121,13.317,,,Absent,6.132548145,c
Norfolk,18d,1.9,1.018,13.317,,,Absent,6.132548145,d
Norfolk,18e,1.9,0.816,13.317,,,Absent,6.132548145,e
Norfolk,18f,1.9,0.852,13.317,,,Absent,6.132548145,f
