Location,Site ,Point ID,Point ,Site number,Pre Leaf Litter Weight- Fine (g),Pre Leaf Litter Weight- Coarse (g),Pre Teabag Weight (g),Pre Wettex Weight,Post Leaf Litter-Fine ,Post Leaf Litter-Coarse,Post Wettex- Fine ,Post Wettex -Coarse,Coarse Leaf k,Fine leaf k ,Coarse wettex k,Fine wettex k ,Teabag k f,Teabag 2 k c,Temperature,Gammarus,Asellus ,Leech ,Caseless Caddis,Cased Caddis,Mayfly,Snail,Site ID,Imidacloprid Concentration ,Fipronil Concentration,Unit ,Percentage Urban,Percentage Suburban ,Percentage Urban and Suburban,Sum_Urban,Sum_Suburban,Total Area ,Imidacloprid 
Kennet,Stonebridge Meadow,9c,c,51,4.954,5.038,1.9,2.44,4.892,3.335,2.355,2.369,0.031522335,0.047619048,0.046233411,0.045960187,0.02112782,0.022681704,12.793,12,,,,,,,9c,0.0019,0.0004,,0.3,4.890481943,5.190481943,228575.4298,3778105,77254247,Absent
Kennet,Stonebridge Meadow,9d,d,52,4.946,4.943,1.9,2.44,4.901,4.568,2.41,2.416,0.044006435,0.047619048,0.047150664,0.047033568,0.020100251,0.022982456,12.793,15,,,,,1,,9d,0.0019,0.0004,,0.3,4.890481943,5.190481943,228575.4298,3778105,77254247,Absent
Kennet,Stonebridge Meadow,9e,e,53,4.962,4.906,1.9,2.44,4.006,3.08,2.399,2.22,0.029895366,0.03844456,0.043325527,0.046818891,0.019899749,0.020551378,12.793,24,,,,,1,,9e,0.0019,0.0004,,0.3,4.890481943,5.190481943,228575.4298,3778105,77254247,Absent
Kennet,Stonebridge Meadow,9f,f,54,4.972,4.913,1.9,2.44,4.841,3.641,2.081,2.175,0.035290241,0.046364403,0.042447307,0.040612802,0.021253133,0.022807018,12.793,9,,,,,2,,9f,0.0019,0.0004,,0.3,4.890481943,5.190481943,228575.4298,3778105,77254247,Absent
Kennet,Mildenhall Trout Farm,10a ,a,55,4.946,4.927,1.9,2.44,4.874,3.109,1.19,0.999,0.030048228,0.047619048,0.019496487,0.023224044,0.02160401,0.02047619,12.811,8,,,,,1,,10a ,0.0019,0.0004,,0.29,4.544418121,4.834418121,226500.8493,3510756,77254247,Present 
Kennet,Mildenhall Trout Farm,10b,b,56,5.08,4.966,1.9,2.44,,2.888,,0.044,0.027693075,,0.000858704,,,0.019298246,12.811,21,,,,,,,10b,0.0019,0.0004,,0.29,4.544418121,4.834418121,226500.8493,3510756,77254247,Present 
Kennet,Mildenhall Trout Farm,10c,c,57,4.916,4.92,1.9,2.44,4.9,3.086,2.43,1.159,0.02986837,0.047619048,0.022619048,0.047619048,0.021528822,0.020250627,12.811,29,,,,,,,10c,0.0019,0.0004,,0.29,4.544418121,4.834418121,226500.8493,3510756,77254247,Present 
Kennet,Mildenhall Trout Farm,10d,d,58,4.925,4.912,1.9,2.44,4.606,4.837,1.909,1.927,0.046891965,0.044534687,0.037607338,0.03725605,0.020150376,0.021002506,12.811,8,,,,2,,,10d,0.0019,0.0004,,0.29,4.544418121,4.834418121,226500.8493,3510756,77254247,Present 
Kennet,Mildenhall Trout Farm,10e,e,59,4.991,4.945,1.9,2.44,4.848,3.657,2.39,2.215,0.035215947,0.046254687,0.043227947,0.047619048,0.020802005,0.018997494,12.811,10,,,,,,,10e,0.0019,0.0004,,0.29,4.544418121,4.834418121,226500.8493,3510756,77254247,Present 
Kennet,Mildenhall Trout Farm,10f,f,60,5,4.939,1.9,2.44,4.299,3.409,2.4,2.39,0.032867652,0.040942857,0.047619048,0.047619048,0.020802005,0.027944862,12.811,7,,,,,,,10f,0.0019,0.0004,,0.29,4.544418121,4.834418121,226500.8493,3510756,77254247,Present 
Kennet,Stitchcombe,11a,a,61,4.98,4.91,1.9,2.44,4.046,2.738,2.344,1.967,0.026554165,0.038688086,0.038387978,0.045745511,0.021077694,0.019874687,13.75,42,,,,,,,11a,0.0019,0.0004,,0.3,4.269749727,4.569749727,229509.0086,3298563,77254247,Absent
Kennet,Stitchcombe,11b,b,62,5.018,5.004,1.9,2.44,4.763,1.899,2.199,0.001,0.018071257,0.045199188,,0.042915691,0.021378446,0.018721805,13.75,41,,,,,,,11b,0.0019,0.0004,,0.3,4.269749727,4.569749727,229509.0086,3298563,77254247,Absent
Kennet,Stitchcombe,11c,c,63,4.942,4.953,1.9,2.44,4.828,2.377,1.695,0.001,0.022852913,0.046520591,,0.033079625,0.021303258,0.021378446,13.75,35,,,,,3,,11c,0.0019,0.0004,,0.3,4.269749727,4.569749727,229509.0086,3298563,77254247,Absent
Kennet,Stitchcombe,11d,d,64,5.032,4.954,1.9,2.44,4.461,2.251,1.502,0.142,0.021637157,0.042215535,0.002771272,0.029313037,0.023709273,0.021879699,13.75,37,,,,,,,11d,0.0019,0.0004,,0.3,4.269749727,4.569749727,229509.0086,3298563,77254247,Absent
Kennet,Stitchcombe,11e,e,65,5.004,4.974,1.9,2.44,4.372,2.703,2.262,2.057,0.02587742,0.041604811,0.040144418,0.044145199,0.022681704,0.021478697,13.75,9,,,,,,,11e,0.0019,0.0004,,0.3,4.269749727,4.569749727,229509.0086,3298563,77254247,Absent
Kennet,Stitchcombe,11f,f,66,4.935,4.947,1.9,2.44,4.037,2.351,2.368,2.034,0.022630358,0.038954021,0.03969555,0.046213895,0.021553885,0.019473684,13.75,11,,,,,,,11f,0.0019,0.0004,,0.3,4.269749727,4.569749727,229509.0086,3298563,77254247,Absent
Kennet,Littlecote,12a,a,67,4.948,4.94,1.9,2.44,4.502,2.959,1.706,2.03,0.028523231,0.054301153,0.039617486,0.033294301,0.020676692,0.021428571,14.988,32,,,,,,,12a,0.0019,0.0004,,0.46,4.290885134,4.750885134,356834.3189,3314891,77254247,Absent
Kennet,Littlecote,12b,b,68,4.987,4.962,1.9,2.44,4.255,3.165,1.828,0.694,,,,,,,14.988,10,,,,,1,,12b,0.0019,0.0004,,0.46,4.290885134,4.750885134,356834.3189,3314891,77254247,Absent
Kennet,Littlecote,12c,c,69,5.035,4.947,1.9,2.44,4.591,1.788,1.006,0.943,,,,,,,14.988,30,,,,,,,12c,0.0019,0.0004,,0.46,4.290885134,4.750885134,356834.3189,3314891,77254247,Absent
Kennet,Littlecote,12d,d,70,5.032,4.924,1.9,2.44,3.855,1.945,2.197,0.068,,,,,,,14.988,25,,,,,,,12d,0.0019,0.0004,,0.46,4.290885134,4.750885134,356834.3189,3314891,77254247,Absent
Kennet,Littlecote,12e,e,71,4.939,4.964,1.9,2.44,4.047,2.26,2.089,0.64,,,,,,,14.988,9,,,,,,,12e,0.0019,0.0004,,0.46,4.290885134,4.750885134,356834.3189,3314891,77254247,Absent
Kennet,Littlecote,12f,f,72,4.928,4.985,1.9,2.44,3.602,1.274,1.719,0.001,,,,,,,14.988,16,,,,,1,,12f,0.0019,0.0004,,0.46,4.290885134,4.750885134,356834.3189,3314891,77254247,Absent
Norfolk,Pensthorpe,13a,a,73,4.951,5.013,1.9,2.44,4.348,2.874,1.388,0.113,0.027300447,0.041819353,0.002205308,0.027088212,0.022431078,0.019548872,16.239,10,,,,,4,,13a,0.0031,0.0021,,0.8,6.627412989,7.427412989,621230.4277,5119958,77254247,Absent
Norfolk,Pensthorpe,13b,b,74,4.93,4.927,1.9,2.44,4.599,2.832,1.625,1.649,0.027371046,0.044421907,0.032181889,0.031713505,0.019273183,0.019498747,16.239,8,,,,2,3,,13b,0.0031,0.0021,,0.8,6.627412989,7.427412989,621230.4277,5119958,77254247,Absent
Norfolk,Pensthorpe,13c,c,75,4.996,4.945,1.9,2.44,3.833,3.632,1.944,1.976,0.034975203,0.036533989,0.038563622,0.03793911,0.020802005,0.01962406,16.239,6,,1,,2,,,13c,0.0031,0.0021,,0.8,6.627412989,7.427412989,621230.4277,5119958,77254247,Absent
Norfolk,Pensthorpe,13d,d,76,5.022,4.942,1.9,2.44,3.824,1.845,1.391,1.085,0.017777649,0.036259506,0.021174863,0.02714676,0.019774436,0.019047619,16.239,6,,,,,2,,13d,0.0031,0.0021,,0.8,6.627412989,7.427412989,621230.4277,5119958,77254247,Absent
